Procedure Code,Procedure Name,Facility,Category,Waiting Days
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Oculus s.p.,fast,74
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OZG ZDRAVSTVENI DOM KRANJ,fast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesni center Preskar,fast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OKULODENT D.O.O. MILKA POFUK KOSTADINOVIĆ, DR.MED.SPEC.OFTALMOLOG",fast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OZG ZDRAVSTVENI DOM ŠKOFJA LOKA,fast,92
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM-OSNOVNO VARSTVO NOVA GORICA,fast,97
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"AGENCIJA AVANTA d.o.o., Ljubljana",fast,104
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesna ambulanta Vid,fast,104
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesna ambulanta Ophtacom,fast,118
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LJUBLJANA - VIČ - RUDNIK,fast,118
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"INMED d.o.o., Medicina in tehnika Ljubljana",fast,118
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Kirurški sanatorij Rožna dolina d.o.o.,fast,118
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM TRBOVLJE TRBOVLJE,fast,118
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LJUBLJANA - CENTER,fast,135
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OKULISTICNA AMBULANTA  SMILJANA GRUDEN, DR. MED., SPEC. OFTALMOLOGIJE",fast,135
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"Očesna Ordinacija Preskar, Spe vivimus d.o.o.",fast,135
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM ILIRSKA BISTRICA,fast,135
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Okulistika Falež d.o.o.,fast,149
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,MLINAR VISUS D.O.O.,fast,165
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LJUBLJANA - BEŽIGRAD,fast,165
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,165
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OPTOVID d.o.o.,fast,166
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OA D.O.O. - Oliver AVSEC, dr. med. spec. oftal.",fast,196
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesni center Pušnik – Novljan d.o.o.,fast,196
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM MEDVODE,fast,196
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,fast,196
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesna ordinacija in optika Oftalma,fast,196
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OKULISTIKA Meh d.o.o.,fast,227
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LITIJA,fast,227
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,VID d.o.o.,fast,249
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Okovid d.o.o.,fast,257
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SŽ - ŽELEZNIŠKI ZDRAVSTVENI DOM LJUBLJANA,fast,307
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM ORMOŽ,fast,318
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM TOLMIN,fast,318
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OKUMED d.o.o.,fast,318
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,328
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,KAMELEON d.o.o.,fast,336
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OZG ZDRAVSTVENI DOM  BLED,fast,380
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OČESNI CENTER IRMAN, d.o.o.",fast,408
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesni center HUDOVERNIK d.o.o.,fast,469
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OFTAMED d.o.o.,fast,469
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,469
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,500
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,fast,530
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,fast,592
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,MORELA OKULISTI D.O.O.,fast,592
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,865
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,VIDIM d.o.o.,fast,1018
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,UKC LJUBLJANA OCESNA KLINIKA,fast,1261
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,0
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OPTOVID d.o.o.,veryFast,0
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Okulistika Clarus d.o.o.,veryFast,0
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Markelj d.o.o.,veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Okulisticna ordinacija Bonis d.o.o.,veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"AGENCIJA AVANTA d.o.o., Ljubljana",veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LJUBLJANA - CENTER,veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,BROVET d.o.o.,veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OKULODENT D.O.O. MILKA POFUK KOSTADINOVIĆ, DR.MED.SPEC.OFTALMOLOG",veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,STUDIO d.o.o.,veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Oculus s.p.,veryFast,15
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM TOLMIN,veryFast,29
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"Očesna Ordinacija Preskar, Spe vivimus d.o.o.",veryFast,29
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,MLINAR VISUS D.O.O.,veryFast,29
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM DR. JANEZA ORAŽMA RIBNICA,veryFast,29
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OZG ZDRAVSTVENI DOM ŠKOFJA LOKA,veryFast,36
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesna ambulanta Ophtacom,veryFast,43
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM KOČEVJE,veryFast,43
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,43
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"INMED d.o.o., Medicina in tehnika Ljubljana",veryFast,43
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM-OSNOVNO VARSTVO NOVA GORICA,veryFast,46
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM ILIRSKA BISTRICA,veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesna ordinacija in optika Oftalma,veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM MEDVODE,veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OČESNA AMBULANTA NAKLO D.O.O.,veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"PRAVOVID, ocesna ord. Maja Sojer Štular, d.o.o.",veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Kirurški sanatorij Rožna dolina d.o.o.,veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,UKC LJUBLJANA OCESNA KLINIKA,veryFast,57
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM TRBOVLJE TRBOVLJE,veryFast,74
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LJUBLJANA - BEŽIGRAD,veryFast,74
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OKULISTICNA AMBULANTA  SMILJANA GRUDEN, DR. MED., SPEC. OFTALMOLOGIJE",veryFast,74
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OKULISTIKA Meh d.o.o.,veryFast,74
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Okovid d.o.o.,veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LJUBLJANA - VIČ - RUDNIK,veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesni center Preskar,veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OZG ZDRAVSTVENI DOM KRANJ,veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OA D.O.O. - Oliver AVSEC, dr. med. spec. oftal.",veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Okulistika Falež d.o.o.,veryFast,88
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesna ambulanta Vid,veryFast,104
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,MORELA OKULISTI D.O.O.,veryFast,135
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesni center Pušnik – Novljan d.o.o.,veryFast,149
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,VID d.o.o.,veryFast,158
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OZG ZDRAVSTVENI DOM  BLED,veryFast,165
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM ORMOŽ,veryFast,165
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,196
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM LITIJA,veryFast,227
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OKUMED d.o.o.,veryFast,257
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,KAMELEON d.o.o.,veryFast,266
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,veryFast,288
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,288
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,Očesni center HUDOVERNIK d.o.o.,veryFast,288
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SŽ - ŽELEZNIŠKI ZDRAVSTVENI DOM LJUBLJANA,veryFast,307
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,318
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,veryFast,328
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,"OČESNI CENTER IRMAN, d.o.o.",veryFast,349
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,veryFast,349
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,OFTAMED d.o.o.,veryFast,349
1028P,Okulistični pregled (razen pregled vida za očala in pregleda zaradi kontaktnih leč) - prvi,VIDIM d.o.o.,veryFast,530
1032P,Ortodontski pregled - prvi,Čigon Anamarija - stomatološka ordinacija,regular,987
1032P,Ortodontski pregled - prvi,Dentalni center dr. Lah Kravanja d.o.o.-Ortodontija Bovec,regular,1018
1032P,Ortodontski pregled - prvi,Dentalni center dr. Lah Kravanja d.o.o.-Ortodontija Tolmin,regular,1079
1032P,Ortodontski pregled - prvi,"Zasebna spec. amb. za zobno in celj. Ortopedijo Tadeja Kramaric-Cizmazija, dr.dent.med., spec.",regular,1231
1032P,Ortodontski pregled - prvi,Zasebna ordinacija za zobno in čeljustno ortopedijo Irena Pišljar Božič,regular,1323
1032P,Ortodontski pregled - prvi,Zasebni zdravstveni zavod ORTHODONTIO,regular,1445
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM RAVNE NA KOROŠKEM,regular,1445
1032P,Ortodontski pregled - prvi,Ortodontija Malinger d.o.o.,regular,1445
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM ZOBOZDRAVSTVENO VARSTVO NOVA GORICA,regular,1504
1032P,Ortodontski pregled - prvi,ORTODONT KOPER,regular,1535
1032P,Ortodontski pregled - prvi,Lukana d.o.o.,regular,1565
1032P,Ortodontski pregled - prvi,ORTO D d.o.o.,regular,1565
1032P,Ortodontski pregled - prvi,"GOTAMA, d.o.o.-Dejan Pirtovšek, dr.dent.med., spec.čelj. In zobne ortopedije",regular,1565
1032P,Ortodontski pregled - prvi,"ZZ ARSMED-ORTODONTIJA SEŽANA - Tanja Lah Kržin, dr.dent.med., spec.",regular,1574
1032P,Ortodontski pregled - prvi,Zdravstveni dom Kočevje - ortodontija,regular,1626
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM DR. BOŽIDARJA LAVRIČA - CERKNICA,regular,1688
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM GORNJA RADGONA,regular,1718
1032P,Ortodontski pregled - prvi,Obrez Oblak Karin - Zobna in celjustna ortopedija,regular,1810
1032P,Ortodontski pregled - prvi,ORTOESTETIK d.o.o.,regular,1810
1032P,Ortodontski pregled - prvi,"ZOBOZDRAVSTVO TURK, ORTODONTSKA IN ZOBOZDRAVSTVENA ORDINACIJA, D.O.O.",regular,1810
1032P,Ortodontski pregled - prvi,ZoboEstetika d.o.o.,regular,1810
1032P,Ortodontski pregled - prvi,Zdravstveni dom dr. Franca Ambrožiča Postojna - Zobozdravstvo,regular,1841
1032P,Ortodontski pregled - prvi,"ORTODONTIJA , ZOBOZDRAVSTVO VRBIC d.o.o.",regular,1841
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM AJDOVŠČINA,regular,1841
1032P,Ortodontski pregled - prvi,BELI MEDVED D.O.O.-ortodontija,regular,1869
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM ČRNOMELJ-zobozdravstvo,regular,1869
1032P,Ortodontski pregled - prvi,ELIZABETA ZALETEL - ZOBOZDRAVSTVENA DEJAVNOST - ČELJUSTNA IN ZOBNA ORTOPEDIJA IN SPLOŠNO ZOBOZDRAVST,regular,1869
1032P,Ortodontski pregled - prvi,"Staša Melink, dr. dent.med., spec. - program Jesenice",regular,1869
1032P,Ortodontski pregled - prvi,ECOOP d.o.o.,regular,1869
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LOGATEC,regular,1869
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM SLOVENSKE KONJICE - Zobozdravstvo,regular,1869
1032P,Ortodontski pregled - prvi,MG ORTODONT d.o.o.,regular,1869
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM ORMOŽ,regular,1900
1032P,Ortodontski pregled - prvi,ORTHOS zavod za ortodontijo in maksilofacialno ortopedijo,regular,1900
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LJUBLJANA - BEŽIGRAD,regular,1900
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM SEVNICA - zobozdravstvo,regular,1900
1032P,Ortodontski pregled - prvi,"GO ORTO d.o.o. - Jure Klaj, specialist čeljustne in zobne ortopedije",regular,1908
1032P,Ortodontski pregled - prvi,Ortodontija Ferlež d.o.o.,regular,1930
1032P,Ortodontski pregled - prvi,Zdravstveni dom Lenart,regular,1930
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LJUBLJANA - VIČ - RUDNIK,regular,1930
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM GROSUPLJE,regular,1961
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LJUTOMER,regular,1961
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LENDAVA - EGESZSEGHAZ LENDVA,regular,1961
1032P,Ortodontski pregled - prvi,"HEON d.o.o., Stanka Herman, dr.dent.med., specialist čeljustne in zobne ortopedije",regular,1961
1032P,Ortodontski pregled - prvi,SPECIALISTIČNA ORTODONTSKA AMBULANTA HROVATIN d.o.o.,regular,1991
1032P,Ortodontski pregled - prvi,Zdravstveni dom Ivančna Gorica - zobozdravstvo,regular,1991
1032P,Ortodontski pregled - prvi,MEDIACOM Kranj d.o.o.,regular,1991
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM DR. JANEZA ORAŽMA RIBNICA,regular,2022
1032P,Ortodontski pregled - prvi,OZG ZDRAVSTVENI DOM KRANJ - zobna,regular,2053
1032P,Ortodontski pregled - prvi,"Zobozdravstvo Košorok, Tomaž Košorok s.p.",regular,2053
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM TRBOVLJE TRBOVLJE,regular,2083
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM DR. JOŽETA POTRATE ŽALEC,regular,2083
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LJUBLJANA - CENTER,regular,2105
1032P,Ortodontski pregled - prvi,Zdravstveni dom Domžale - zobozdravstvo,regular,2114
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI ZAVOD ORTODONTIJA VALANT,regular,2114
1032P,Ortodontski pregled - prvi,UKC LJUBLJANA - STOMATOLOŠKA KLINIKA,regular,2175
1032P,Ortodontski pregled - prvi,"Dr.Pavšič d.o.o., PE Škofja Loka",regular,2175
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LITIJA - Zobozdravstvo,regular,2206
1032P,Ortodontski pregled - prvi,"E.A.T. d.o.o. - prof.dr.Martina Drevenšek, dr.dent.med.,spec.",regular,2233
1032P,Ortodontski pregled - prvi,SANIDENT d.o.o. – ortodontija,regular,2234
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM VELENJE,regular,2234
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM DR. JULIJA POLCA KAMNIK,regular,2234
1032P,Ortodontski pregled - prvi,"Staša Melink, dr. dent.med., spec. - Zasebna ortodontska ord",regular,2234
1032P,Ortodontski pregled - prvi,E.A.T. d.o.o. 2,regular,2258
1032P,Ortodontski pregled - prvi,ORTO specialisticna zobna ambulanta d.o.o.,regular,2295
1032P,Ortodontski pregled - prvi,ZGORNJESAVINJSKI ZDRAVSTVENI DOM NAZARJE,regular,2296
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM PTUJ,regular,2356
1032P,Ortodontski pregled - prvi,"Zdravstvene storitve, Jure Volk s.p.",regular,2490
1032P,Ortodontski pregled - prvi,Zdravstveni dom Radlje ob Dravi - zobozdravstvo,regular,2571
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,regular,2814
1032P,Ortodontski pregled - prvi,Orthas d.o.o.,regular,3361
1032P,Ortodontski pregled - prvi,Čigon Anamarija - stomatološka ordinacija,fast,745
1032P,Ortodontski pregled - prvi,Dentalni center dr. Lah Kravanja d.o.o.-Ortodontija Bovec,fast,804
1032P,Ortodontski pregled - prvi,UKC LJUBLJANA - STOMATOLOŠKA KLINIKA,fast,895
1032P,Ortodontski pregled - prvi,Zasebna ordinacija za zobno in čeljustno ortopedijo Irena Pišljar Božič,fast,987
1032P,Ortodontski pregled - prvi,Dentalni center dr. Lah Kravanja d.o.o.-Ortodontija Tolmin,fast,1079
1032P,Ortodontski pregled - prvi,Zasebni zdravstveni zavod ORTHODONTIO,fast,1079
1032P,Ortodontski pregled - prvi,"Zasebna spec. amb. za zobno in celj. Ortopedijo Tadeja Kramaric-Cizmazija, dr.dent.med., spec.",fast,1110
1032P,Ortodontski pregled - prvi,"GOTAMA, d.o.o.-Dejan Pirtovšek, dr.dent.med., spec.čelj. In zobne ortopedije",fast,1110
1032P,Ortodontski pregled - prvi,Ortodontija Malinger d.o.o.,fast,1139
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM AJDOVŠČINA,fast,1170
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM TRBOVLJE TRBOVLJE,fast,1384
1032P,Ortodontski pregled - prvi,"ZZ ARSMED-ORTODONTIJA SEŽANA - Tanja Lah Kržin, dr.dent.med., spec.",fast,1392
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM ZOBOZDRAVSTVENO VARSTVO NOVA GORICA,fast,1445
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LITIJA - Zobozdravstvo,fast,1445
1032P,Ortodontski pregled - prvi,Zdravstveni dom Kočevje - ortodontija,fast,1445
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM RAVNE NA KOROŠKEM,fast,1445
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM ČRNOMELJ-zobozdravstvo,fast,1445
1032P,Ortodontski pregled - prvi,ORTODONT KOPER,fast,1445
1032P,Ortodontski pregled - prvi,Obrez Oblak Karin - Zobna in celjustna ortopedija,fast,1445
1032P,Ortodontski pregled - prvi,"GO ORTO d.o.o. - Jure Klaj, specialist čeljustne in zobne ortopedije",fast,1474
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LJUBLJANA - BEŽIGRAD,fast,1476
1032P,Ortodontski pregled - prvi,ZDRAVSTVENI DOM LENDAVA - EGESZSEGHAZ LENDVA,fast,1476
1032P,Ortodontski pregled - prvi,ORTOESTETIK d.o.o.,fast,1476
1032P,Ortodontski pregled - prvi,Lukana d.o.o.,fast,1476
1032P,Ortodontski pregled - prvi,"Staša Melink, dr. dent.med., spec. - program Jesenice",fast,1504
1032P,Ortodontski pregled - prvi,ORTO D d.o.o.,fast,1504
1032P,Ortodontski pregled - prvi,ECOOP d.o.o.,fast,1504
1032P,Ortodontski pregled - prvi,MG ORTODONT d.o.o.,fast,1565
1032P,Ortodontski pregled - prvi,"Staša Melink, dr. dent.med., spec. - Zasebna ortodontska ord",fast,1565
1032P,Ortodontski pregled - prvi,OZG ZDRAVSTVENI DOM KRANJ - zobna,fast,1565
1032P,Ortodontski pregled - prvi,ORTHOS zavod za ortodontijo in maksilofacialno ortopedijo,fast,1596
1032P,Ortodontski pregled - prvi,"Dr.Pavšič d.o.o., PE Škofja Loka",fast,1596
1032P,Ortodontski pregled - prvi,"ZOBOZDRAVSTVO TURK, ORTODONTSKA IN ZOBOZDRAVSTVENA ORDINACIJA, D.O.O.",fast,1596
1032P,Ortodontski pregled - prvi,ZoboEstetika d.o.o.,fast,1626
1032P,Ortodontski pregled - prvi,Ortodontija Ferlež d.o.o.,fast,1626
